"Plot Title: FL_Keys_Tank1"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20014306, SEN S/N: 20014306, LBL: FL_Keys_Tank1)","Coupler Detached (LGR S/N: 20014306)","Coupler Attached (LGR S/N: 20014306)","Host Connected (LGR S/N: 20014306)","Stopped (LGR S/N: 20014306)","End Of File (LGR S/N: 20014306)"
1,06/06/21 01:55:29 PM,97.137,,,,,
2,06/06/21 01:55:33 PM,,Logged,,,,
3,06/06/21 01:56:29 PM,97.137,,,,,
4,06/06/21 01:57:29 PM,96.942,,,,,
5,06/06/21 01:58:29 PM,96.748,,,,,
6,06/06/21 01:59:29 PM,96.555,,,,,
7,06/06/21 02:00:29 PM,92.926,,,,,
8,06/06/21 02:01:29 PM,90.495,,,,,
9,06/06/21 02:02:29 PM,89.200,,,,,
10,06/06/21 02:03:29 PM,88.466,,,,,
11,06/06/21 02:04:29 PM,87.915,,,,,
12,06/06/21 02:05:29 PM,87.733,,,,,
13,06/06/21 02:06:29 PM,87.552,,,,,
14,06/06/21 02:07:29 PM,87.368,,,,,
15,06/06/21 02:08:29 PM,87.368,,,,,
16,06/06/21 02:09:29 PM,87.186,,,,,
17,06/06/21 02:10:29 PM,87.368,,,,,
18,06/06/21 02:11:29 PM,87.368,,,,,
19,06/06/21 02:12:29 PM,87.368,,,,,
20,06/06/21 02:13:29 PM,87.186,,,,,
21,06/06/21 02:14:29 PM,87.186,,,,,
22,06/06/21 02:15:29 PM,87.004,,,,,
23,06/06/21 02:16:29 PM,87.004,,,,,
24,06/06/21 02:17:29 PM,87.004,,,,,
25,06/06/21 02:18:29 PM,87.004,,,,,
26,06/06/21 02:19:29 PM,87.004,,,,,
27,06/06/21 02:20:29 PM,87.004,,,,,
28,06/06/21 02:21:29 PM,87.004,,,,,
29,06/06/21 02:22:29 PM,87.004,,,,,
30,06/06/21 02:23:29 PM,87.004,,,,,
31,06/06/21 02:24:29 PM,87.004,,,,,
32,06/06/21 02:25:29 PM,87.004,,,,,
33,06/06/21 02:26:29 PM,87.004,,,,,
34,06/06/21 02:27:29 PM,87.004,,,,,
35,06/06/21 02:28:29 PM,87.004,,,,,
36,06/06/21 02:29:29 PM,87.004,,,,,
37,06/06/21 02:30:29 PM,87.004,,,,,
38,06/06/21 02:31:29 PM,87.004,,,,,
39,06/06/21 02:32:29 PM,87.004,,,,,
40,06/06/21 02:33:29 PM,87.004,,,,,
41,06/06/21 02:34:29 PM,87.004,,,,,
42,06/06/21 02:35:29 PM,87.004,,,,,
43,06/06/21 02:36:29 PM,87.004,,,,,
44,06/06/21 02:37:29 PM,87.004,,,,,
45,06/06/21 02:38:29 PM,86.823,,,,,
46,06/06/21 02:39:29 PM,86.823,,,,,
47,06/06/21 02:40:29 PM,87.004,,,,,
48,06/06/21 02:41:29 PM,86.823,,,,,
49,06/06/21 02:42:29 PM,86.823,,,,,
50,06/06/21 02:43:29 PM,86.823,,,,,
51,06/06/21 02:44:29 PM,86.823,,,,,
52,06/06/21 02:45:29 PM,86.823,,,,,
53,06/06/21 02:46:29 PM,86.823,,,,,
54,06/06/21 02:47:29 PM,86.823,,,,,
55,06/06/21 02:48:29 PM,86.823,,,,,
56,06/06/21 02:49:29 PM,86.823,,,,,
57,06/06/21 02:50:29 PM,86.823,,,,,
58,06/06/21 02:51:29 PM,86.823,,,,,
59,06/06/21 02:52:29 PM,86.823,,,,,
60,06/06/21 02:53:29 PM,86.823,,,,,
61,06/06/21 02:54:29 PM,86.823,,,,,
62,06/06/21 02:55:29 PM,86.823,,,,,
63,06/06/21 02:56:29 PM,86.823,,,,,
64,06/06/21 02:57:29 PM,86.823,,,,,
65,06/06/21 02:58:29 PM,87.004,,,,,
66,06/06/21 02:59:29 PM,87.004,,,,,
67,06/06/21 03:00:29 PM,87.004,,,,,
68,06/06/21 03:01:29 PM,87.004,,,,,
69,06/06/21 03:02:29 PM,87.004,,,,,
70,06/06/21 03:03:29 PM,86.823,,,,,
71,06/06/21 03:04:29 PM,86.823,,,,,
72,06/06/21 03:05:29 PM,87.004,,,,,
73,06/06/21 03:06:29 PM,87.004,,,,,
74,06/06/21 03:07:29 PM,87.004,,,,,
75,06/06/21 03:08:29 PM,86.823,,,,,
76,06/06/21 03:09:29 PM,86.823,,,,,
77,06/06/21 03:10:29 PM,86.823,,,,,
78,06/06/21 03:11:29 PM,87.004,,,,,
79,06/06/21 03:12:29 PM,87.004,,,,,
80,06/06/21 03:13:29 PM,87.004,,,,,
81,06/06/21 03:14:29 PM,86.823,,,,,
82,06/06/21 03:15:29 PM,86.823,,,,,
83,06/06/21 03:16:29 PM,86.823,,,,,
84,06/06/21 03:17:29 PM,87.004,,,,,
85,06/06/21 03:18:29 PM,87.004,,,,,
86,06/06/21 03:19:29 PM,87.004,,,,,
87,06/06/21 03:20:29 PM,87.004,,,,,
88,06/06/21 03:21:29 PM,87.004,,,,,
89,06/06/21 03:22:29 PM,87.004,,,,,
90,06/06/21 03:23:29 PM,86.823,,,,,
91,06/06/21 03:24:29 PM,86.823,,,,,
92,06/06/21 03:25:29 PM,87.004,,,,,
93,06/06/21 03:26:29 PM,87.004,,,,,
94,06/06/21 03:27:29 PM,86.823,,,,,
95,06/06/21 03:28:29 PM,86.823,,,,,
96,06/06/21 03:29:29 PM,87.004,,,,,
97,06/06/21 03:30:29 PM,87.004,,,,,
98,06/06/21 03:31:29 PM,87.004,,,,,
99,06/06/21 03:32:29 PM,87.004,,,,,
100,06/06/21 03:33:29 PM,86.823,,,,,
101,06/06/21 03:34:29 PM,86.823,,,,,
102,06/06/21 03:35:29 PM,87.004,,,,,
103,06/06/21 03:36:29 PM,87.004,,,,,
104,06/06/21 03:37:29 PM,86.823,,,,,
105,06/06/21 03:38:29 PM,86.823,,,,,
106,06/06/21 03:39:29 PM,86.823,,,,,
107,06/06/21 03:40:29 PM,87.004,,,,,
108,06/06/21 03:41:29 PM,87.004,,,,,
109,06/06/21 03:42:29 PM,87.004,,,,,
110,06/06/21 03:43:29 PM,86.823,,,,,
111,06/06/21 03:44:29 PM,86.823,,,,,
112,06/06/21 03:45:29 PM,87.004,,,,,
113,06/06/21 03:46:29 PM,87.004,,,,,
114,06/06/21 03:47:29 PM,87.004,,,,,
115,06/06/21 03:48:29 PM,87.004,,,,,
116,06/06/21 03:49:29 PM,87.004,,,,,
117,06/06/21 03:50:29 PM,86.823,,,,,
118,06/06/21 03:51:29 PM,86.823,,,,,
119,06/06/21 03:52:29 PM,87.004,,,,,
120,06/06/21 03:53:29 PM,87.004,,,,,
121,06/06/21 03:54:29 PM,87.004,,,,,
122,06/06/21 03:55:29 PM,86.823,,,,,
123,06/06/21 03:56:29 PM,86.823,,,,,
124,06/06/21 03:57:29 PM,87.004,,,,,
125,06/06/21 03:58:29 PM,87.004,,,,,
126,06/06/21 03:59:29 PM,87.004,,,,,
127,06/06/21 04:00:29 PM,87.004,,,,,
128,06/06/21 04:01:29 PM,87.004,,,,,
129,06/06/21 04:02:29 PM,86.823,,,,,
130,06/06/21 04:03:29 PM,86.823,,,,,
131,06/06/21 04:04:29 PM,86.823,,,,,
132,06/06/21 04:05:29 PM,87.004,,,,,
133,06/06/21 04:06:29 PM,87.004,,,,,
134,06/06/21 04:07:29 PM,87.004,,,,,
135,06/06/21 04:08:29 PM,87.004,,,,,
136,06/06/21 04:09:29 PM,86.823,,,,,
