"Plot Title: FL_Keys_Tank5"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20663193, SEN S/N: 20663193, LBL: FL_Keys_Tank5)","Coupler Detached (LGR S/N: 20663193)","Coupler Attached (LGR S/N: 20663193)","Host Connected (LGR S/N: 20663193)","Stopped (LGR S/N: 20663193)","End Of File (LGR S/N: 20663193)"
1,06/06/21 02:03:32 PM,34.903,,,,,
2,06/06/21 02:03:38 PM,,Logged,,,,
3,06/06/21 02:04:32 PM,35.009,,,,,
4,06/06/21 02:05:32 PM,33.430,,,,,
5,06/06/21 02:06:32 PM,32.291,,,,,
6,06/06/21 02:07:32 PM,31.778,,,,,
7,06/06/21 02:08:32 PM,31.574,,,,,
8,06/06/21 02:09:32 PM,31.370,,,,,
9,06/06/21 02:10:32 PM,31.268,,,,,
10,06/06/21 02:11:32 PM,31.268,,,,,
11,06/06/21 02:12:32 PM,31.166,,,,,
12,06/06/21 02:13:32 PM,31.166,,,,,
13,06/06/21 02:14:32 PM,31.268,,,,,
14,06/06/21 02:15:32 PM,31.268,,,,,
15,06/06/21 02:16:32 PM,31.268,,,,,
16,06/06/21 02:17:32 PM,31.268,,,,,
17,06/06/21 02:18:32 PM,31.268,,,,,
18,06/06/21 02:19:32 PM,31.370,,,,,
19,06/06/21 02:20:32 PM,31.370,,,,,
20,06/06/21 02:21:32 PM,31.370,,,,,
21,06/06/21 02:22:32 PM,31.370,,,,,
22,06/06/21 02:23:32 PM,31.472,,,,,
23,06/06/21 02:24:32 PM,31.574,,,,,
24,06/06/21 02:25:32 PM,31.574,,,,,
25,06/06/21 02:26:32 PM,31.676,,,,,
26,06/06/21 02:27:32 PM,31.676,,,,,
27,06/06/21 02:28:32 PM,31.676,,,,,
28,06/06/21 02:29:32 PM,31.676,,,,,
29,06/06/21 02:30:32 PM,31.676,,,,,
30,06/06/21 02:31:32 PM,31.778,,,,,
31,06/06/21 02:32:32 PM,31.778,,,,,
32,06/06/21 02:33:32 PM,31.880,,,,,
33,06/06/21 02:34:32 PM,31.880,,,,,
34,06/06/21 02:35:32 PM,31.983,,,,,
35,06/06/21 02:36:32 PM,31.983,,,,,
36,06/06/21 02:37:32 PM,31.983,,,,,
37,06/06/21 02:38:32 PM,32.086,,,,,
38,06/06/21 02:39:32 PM,32.086,,,,,
39,06/06/21 02:40:32 PM,32.086,,,,,
40,06/06/21 02:41:32 PM,32.086,,,,,
41,06/06/21 02:42:32 PM,32.086,,,,,
42,06/06/21 02:43:32 PM,32.188,,,,,
