Sample	Top over-represented sequence	Sum of remaining over-represented sequences
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R1_val_1	0.13186122634893596	0.34146816288286697
20210608T1400_CBASS_US_MoteIn_Past_10_30_1140_RNASeq_R2_val_2	0.12846621717055193	0.2318512226986035
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R1_val_1	0.13914496050507816	0.3342050733120543
20210608T1400_CBASS_US_MoteIn_Past_10_30_180_RNASeq_R2_val_2	0.13599654222362195	0.1293262446333296
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R1_val_1	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_360_RNASeq_R2_val_2	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R1_val_1	0.29561853168904956	3.931996178824649
20210608T1400_CBASS_US_MoteIn_Past_10_30_420_RNASeq_R2_val_2	0.28320075530904093	3.7444692933755457
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R1_val_1	0.14649527152038228	0.3263909935225637
20210608T1400_CBASS_US_MoteIn_Past_10_30_750_RNASeq_R2_val_2	0.14742044278460992	0.22932461731645998
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R1_val_1	0.22055632035333367	1.6716525321063456
20210608T1400_CBASS_US_MoteIn_Past_10_34_1140_RNASeq_R2_val_2	0.2224969526009237	1.5032333763333545
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R1_val_1	0.32681404529593805	2.5727611070193417
20210608T1400_CBASS_US_MoteIn_Past_10_34_180_RNASeq_R2_val_2	0.3243541606166675	2.603203571262804
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R1_val_1	0.20024620056205591	1.1401859606695952
20210608T1400_CBASS_US_MoteIn_Past_10_34_360_RNASeq_R2_val_2	0.1974827478378093	1.0111254017700053
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R1_val_1	0.22285180350415504	2.038626529588542
20210608T1400_CBASS_US_MoteIn_Past_10_34_420_RNASeq_R2_val_2	0.22004696865729625	1.8691363601858202
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R1_val_1	0.2350816733173556	1.6347616451622318
20210608T1400_CBASS_US_MoteIn_Past_10_34_750_RNASeq_R2_val_2	0.23132709970649262	1.6949780817065654
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R1_val_1	0.38565288122203106	4.184341186227869
20210608T1400_CBASS_US_MoteIn_Past_10_37_1140_RNASeq_R2_val_2	0.38813012082381787	3.9544304012783904
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R1_val_1	0.8642013683751811	20.044035102131613
20210608T1400_CBASS_US_MoteIn_Past_10_37_180_RNASeq_R2_val_2	0.8656041779909063	19.98587400993431
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R1_val_1	0.37244933472739156	3.4714831040290637
20210608T1400_CBASS_US_MoteIn_Past_10_37_360_RNASeq_R2_val_2	0.36912556085673404	3.5885377490391765
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R1_val_1	0.14908350642751209	0.10430744660545424
20210608T1400_CBASS_US_MoteIn_Past_10_37_420_RNASeq_R2_val_2	0.146658783359717	0.2043938051873993
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R1_val_1	1.327444803469894	2.5227773663781745
20210608T1400_CBASS_US_MoteIn_Past_10_37_750_RNASeq_R2_val_2	1.3292560242073588	2.3185425410470715
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R1_val_1	3.8169416693700913	24.63457286253044
20210608T1400_CBASS_US_MoteIn_Past_10_39_1140_RNASeq_R2_val_2	3.8316714196362787	24.679205258202938
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R1_val_1	0.269889748721825	2.8774533382652296
20210608T1400_CBASS_US_MoteIn_Past_10_39_180_RNASeq_R2_val_2	0.2702796219594152	2.8856163091772746
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R1_val_1	0.2116598966401965	0.20325666058109734
20210608T1400_CBASS_US_MoteIn_Past_10_39_360_RNASeq_R2_val_2	0.20004445582947394	0.18828670215000864
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R1_val_1	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_420_RNASeq_R2_val_2	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R1_val_1	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_39_750_RNASeq_R2_val_2	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R1_val_1	0.3051485264229956	2.2362253904216356
20210608T1400_CBASS_US_MoteIn_Past_10_T0_0_RNASeq_R2_val_2	0.2985934348148789	2.188404526750845
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R1_val_1	0.23013501416742665	1.0868028707381567
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2_val_2	0.22719599317676215	1.064400719324336
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1_val_1	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2_val_2	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1_val_1	0.37224081143986426	6.487532548042193
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2_val_2	0.36918618578635565	6.338443522645129
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1_val_1	0.28879211948276473	2.486867720330676
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2_val_2	0.28441685583914156	2.4237230255417757
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1_val_1	0.32147102760967317	3.757213896499406
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2_val_2	0.3253193249639953	3.8168943974584235
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1_val_1	0.3089336399236718	3.8035338112187143
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2_val_2	0.2925364544094698	3.2752689293953186
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1_val_1	0.3245725554531103	4.180948891130964
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2_val_2	0.3194696689739834	3.9703086055109766
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1_val_1	0.33507921679759745	4.4655126364428614
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2_val_2	0.32739014037705566	4.400614423914883
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1_val_1	0.23209286331949264	1.6672746707044679
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2_val_2	0.23118985463196018	1.739129296775441
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1_val_1	0.2876475176615589	2.719877789844653
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2_val_2	0.27547936749838264	2.524334509935077
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1_val_1	0.3025672236242381	3.9086189512447698
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2_val_2	0.31122397481855246	3.740027823732261
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1_val_1	0.33674603933583364	4.389380642896653
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R2_val_2	0.33613586152558206	4.2685044186858185
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R1_val_1	0.21746968232587705	1.0734833758698936
20210608T1400_CBASS_US_MoteIn_Past_6_37_180_RNASeq_R2_val_2	0.21993577180420182	0.9486920828735041
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R1_val_1	0.33064179636239915	2.907138018413501
20210608T1400_CBASS_US_MoteIn_Past_6_37_360_RNASeq_R2_val_2	0.3241782446273399	3.138260898502341
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R1_val_1	0.28074025371434175	2.788217951890876
20210608T1400_CBASS_US_MoteIn_Past_6_37_420_RNASeq_R2_val_2	0.2721806610440864	2.577377613109803
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R1_val_1	0.26967179779663986	2.097107243080143
20210608T1400_CBASS_US_MoteIn_Past_6_37_750_RNASeq_R2_val_2	0.26710185682788035	2.1320847467376294
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R1_val_1	3.942487617928261	26.663274660190748
20210608T1400_CBASS_US_MoteIn_Past_6_39_1140_RNASeq_R2_val_2	3.9714384356614785	26.72390153263313
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1_val_1	0.7019161010548909	15.646009209213247
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2_val_2	0.7032508205451498	15.668348198576524
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1_val_1	1.1946716977012357	1.0101160868012677
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2_val_2	1.1727163606423894	0.9623104548628405
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1_val_1	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2_val_2	0.0	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1_val_1	0.36862629795002333	0.0
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2_val_2	0.3697756283964216	0.0
